row_in_workbook,series,source,has_opening,d_mm,c_mm,fc_MPa,sqrt_fc,rho_percent,a_over_d,Dop_mm,Sop_mm,Num_Openings,Opening_Shape,Opening_Pos,col_shape,Vu_kN,Vu_ACI318_kN,Vu_EC2_kN,EC2_perimeter_ratio
507,105,previous_db,False,100.0,150.0,33.15,5.757603668193912,0.56,7.7,0,1000.0,,,,,174.0,190.00092105039917,176.97830693255972,1.0
508,181,previous_db,False,106.0,180.0,53.36,7.30479294709987,0.52,9.339622641509434,0,1000.0,,,,,361.0,292.3167759392492,237.0643477917611,1.0
509,182,previous_db,False,60.5,102.0,19.1,4.370354676682432,1.89,6.297520661157025,0,1000.0,,,,,105.0,56.715185227977095,84.0938925011529,1.0
510,111,previous_db,False,70.0,150.0,71.25,8.440971508067067,1.52,9.642857142857142,0,1000.0,,,,,258.0,171.58806881598736,177.73290280575668,1.0
511,111,previous_db,False,127.0,119.38,24.89,4.988987873306569,0.75,5.401574803149606,0,1000.0,,,,,201.0,206.06088055424468,251.47509463777632,1.0
512,183,previous_db,False,124.0,250.0,33.3,5.770615218501403,1.53,7.056451612903226,0,1000.0,,,,,483.0,353.25582781265183,423.3591859886576,1.0
513,21,previous_db,False,124.0,203.0,13.3,3.646916505762094,1.0,4.705645161290323,0,1000.0,,,,,254.0,195.19522502784665,250.6870399010604,1.0
514,27,previous_db,False,114.0,254.0,26.52,5.149757275833493,2.49,6.684210526315789,0,1000.0,,,,,512.0,285.17625475121207,377.56093215512914,1.0
515,184,previous_db,False,63.2,152.0,15.53,3.9408120990476063,0.89,5.632911392405063,0,1000.0,,,,,88.0,70.7487880001639,76.56231039233646,1.0
516,27,previous_db,False,114.0,254.0,25.21,5.020956084253277,3.73,6.684210526315789,0,1000.0,,,,,534.0,278.04367753350346,371.23891235993966,1.0
517,185,previous_db,False,172.0,158.65,31.07,5.574047003748713,0.46,3.976744186046512,0,1000.0,,,,,503.0,418.4480340318908,420.1492462782253,1.0
518,186,previous_db,False,101.0,109.96,11.54,3.3970575502926055,0.7,5.0,0,1000.0,,,,,183.0,95.54287953115292,124.68424804332328,1.0
519,62,previous_db,False,107.0,120.0,54.28,7.367496182557545,0.51,9.25233644859813,0,1000.0,,,,,318.0,236.21283150714507,212.61358712689963,1.0
520,62,previous_db,False,108.0,360.0,52.44,7.241546796092669,0.51,9.166666666666666,0,1000.0,,,,,287.0,483.1420984654544,325.2288757857098,1.0
