row_in_workbook,source,has_opening,d_mm,c_mm,fc_MPa,sqrt_fc,rho_percent,a_over_d,Dop_mm,Sop_mm,Vu_kN,subset,Vu_ACI318_kN,Vu_EC2_kN,Vu_ElShafiey_kN,Vu_Koroglu_kN
23,opening study,0,100.0,150.0,24.02,4.901,1.13,8.5,0,1000.0,235.0,train,161.73,200.87,,
24,opening study,1,100.0,150.0,24.02,4.901,1.13,8.5,200,0.0,175.0,train,161.73,200.87,153.65,152.03
25,opening study,1,100.0,150.0,24.02,4.901,1.13,8.5,300,0.0,143.0,train,161.73,200.87,149.6,147.18
26,opening study,1,100.0,150.0,24.02,4.901,1.13,8.5,400,0.0,115.0,train,161.73,200.87,145.56,142.33
27,opening study,1,100.0,150.0,24.02,4.901,1.13,8.5,300,100.0,160.0,train,127.08,168.41,149.6,147.18
28,opening study,1,100.0,150.0,24.02,4.901,1.13,8.5,300,200.0,176.0,train,139.68,168.41,149.6,147.18
29,opening study,1,100.0,150.0,24.02,4.901,1.13,8.5,300,300.0,195.0,train,145.56,177.07,149.6,147.18
30,opening study,1,100.0,150.0,24.02,4.901,1.13,8.5,250,0.0,180.0,test,161.73,200.87,151.63,149.6
31,opening study,1,100.0,150.0,24.02,4.901,1.13,8.5,350,0.0,170.0,train,161.73,200.87,147.58,144.75
32,opening study,1,100.0,150.0,24.02,4.901,1.13,8.5,450,0.0,150.0,train,161.73,200.87,143.54,139.9
33,opening study,0,100.0,200.0,20.83,4.564,0.39,10.0,0,1000.0,193.0,train,180.73,148.84,,
34,opening study,1,100.0,200.0,20.6,4.5387,0.39,10.0,300,0.0,99.03,train,179.73,148.29,168.5,166.25
35,opening study,1,100.0,200.0,20.85,4.5662,0.39,10.0,300,0.0,125.86,train,180.82,148.88,169.52,167.26
36,opening study,1,100.0,200.0,19.63,4.4306,0.39,10.0,500,0.0,76.98,train,175.45,145.92,157.17,153.52
37,opening study,1,100.0,200.0,19.61,4.4283,0.39,10.0,500,0.0,94.7,test,175.36,145.87,157.09,153.44
38,opening study,1,100.0,200.0,20.02,4.4744,0.39,10.0,300,300.0,134.78,test,160.57,130.81,166.11,163.9
39,opening study,1,100.0,200.0,21.24,4.6087,0.39,10.0,300,300.0,172.15,train,165.39,133.42,171.1,168.82
40,opening study,1,100.0,200.0,20.05,4.4777,0.39,10.0,500,300.0,115.53,test,149.61,120.16,158.85,155.15
41,opening study,1,100.0,200.0,20.23,4.4978,0.39,10.0,500,300.0,138.83,train,150.28,120.52,159.56,155.85
42,opening study,0,80.0,100.0,31.6,5.6214,0.84,6.25,0,1000.0,182.9,train,106.85,120.73,,
43,opening study,0,80.0,100.0,30.3,5.5045,0.84,6.25,0,1000.0,176.7,train,104.63,119.05,,
44,opening study,0,80.0,100.0,27.7,5.2631,0.84,6.25,0,1000.0,154.9,train,100.04,115.54,,
45,opening study,0,80.0,100.0,24.6,4.9598,0.84,6.25,0,1000.0,150.0,train,94.28,111.06,,
46,opening study,1,80.0,100.0,31.6,5.6214,0.84,6.25,100,0.0,140.2,test,106.85,120.73,103.14,102.4
47,opening study,1,80.0,100.0,30.3,5.5045,0.84,6.25,100,0.0,137.0,train,104.63,119.05,101.0,100.27
48,opening study,1,80.0,100.0,27.7,5.2631,0.84,6.25,100,0.0,119.3,train,100.04,115.54,96.57,95.87
49,opening study,1,80.0,100.0,24.6,4.9598,0.84,6.25,100,0.0,109.2,train,94.28,111.06,91.0,90.35
50,opening study,1,80.0,100.0,31.6,5.6214,0.84,6.25,150,0.0,120.4,train,106.85,120.73,101.29,100.17
51,opening study,1,80.0,100.0,30.3,5.5045,0.84,6.25,150,0.0,118.2,test,104.63,119.05,99.18,98.09
52,opening study,1,80.0,100.0,27.7,5.2631,0.84,6.25,150,0.0,100.9,train,100.04,115.54,94.83,93.79
53,opening study,1,80.0,100.0,24.6,4.9598,0.84,6.25,150,0.0,91.6,train,94.28,111.06,89.37,88.38
54,opening study,0,130.0,200.0,30.0,5.4772,1.45,6.5385,0,1000.0,427.0,train,310.16,400.56,,
55,opening study,1,130.0,200.0,30.0,5.4772,1.45,6.5385,200,0.0,315.0,train,310.16,400.56,298.42,296.07
56,opening study,1,130.0,200.0,30.0,5.4772,1.45,6.5385,300,0.0,222.0,test,310.16,400.56,292.54,289.02
57,opening study,1,130.0,200.0,30.0,5.4772,1.45,6.5385,400,0.0,210.0,train,310.16,400.56,286.67,281.97
58,opening study,1,130.0,200.0,30.0,5.4772,1.45,6.5385,200,0.0,339.0,train,310.16,400.56,298.42,296.07
59,opening study,1,130.0,200.0,30.0,5.4772,1.45,6.5385,300,0.0,300.0,train,310.16,400.56,292.54,289.02
60,opening study,1,130.0,200.0,30.0,5.4772,1.45,6.5385,400,0.0,261.0,train,310.16,400.56,286.67,281.97
61,opening study,0,100.0,200.0,25.6,5.0596,0.39,10.0,0,1000.0,201.73,test,200.36,159.43,,
62,opening study,1,100.0,200.0,25.2,5.02,0.39,10.0,300,0.0,110.41,test,198.79,158.59,186.37,183.88
63,opening study,1,100.0,200.0,25.4,5.0398,0.39,10.0,300,0.0,158.61,train,199.58,159.01,187.1,184.61
64,opening study,1,100.0,200.0,25.1,5.01,0.39,10.0,300,0.0,71.45,train,198.4,158.38,186.0,183.52
